2023-10-11 19:42:08.249 [main] INFO  com.rs.mv.mvvs.Startup - [LSP:100101]ROCKET MV BASIC EXTENSION to start
2023-10-11 19:42:08.297 [main] INFO  com.rs.mv.mvvs.lsp.server.BasicLanguageServerLauncher - [LSP:100102]start pip server
2023-10-11 19:42:08.485 [main] INFO  com.rs.mv.mvvs.lsp.server.BasicLanguageServerLauncher - [LSP:100103]ROCKET MV BASIC EXTENSION start successful
2023-10-11 19:42:11.339 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.WorkspaceManager - [workspace:200101]load all workspace folders start
2023-10-11 19:42:11.339 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.WorkspaceManager - [workspace:20010201]root uri: file:///i%3A/%3D%3D%3DSkilbrain%3D%3D%3D/Sprint%2015/my-react-app
2023-10-11 19:42:11.341 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.handler.FolderHandler - [workspace:200103]workspace contains workspace folder: file:///i%3A/%3D%3D%3DSkilbrain%3D%3D%3D/Sprint%2015/my-react-app
2023-10-11 19:42:11.373 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.workspace.handler.FolderHandler - [workspace:200104]workspace folder will be cached: file:///i%3A/%3D%3D%3DSkilbrain%3D%3D%3D/Sprint%2015/my-react-app
2023-10-11 19:42:11.375 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010101]config load start
2023-10-11 19:42:11.376 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010102]project config path is : I:/===Skilbrain===/Sprint 15/my-react-app/.rmv/config
2023-10-11 19:42:11.376 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010103]resource config path is : /
2023-10-11 19:42:11.377 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010104]user config path is : C:/Users/Daniel Alin Iosif
2023-10-11 19:42:11.394 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.config.Config - [framework:30010105]config load end
2023-10-11 19:42:11.396 [pool-3-thread-1] INFO  com.rs.mv.mvvs.rmv.documentation.BasicDocumentation - [framework:30020101]documentation load start
